한글종목명,해당일종가,현재가,전일대비구분,전일대비,전일대비율,종가 전일대비구분,종가 전일대비,종가 전일대비율,연속일,거래강도,누적거래량,업종구분,매도총호가수량,매도총호가수량,매도1호가,매도1호가,매도 1호가 수량,매도1호가 수량,날짜
액션스퀘어                              ,2310,1740,2,60,3.57,1,530,29.78,1,22.47,2201798,1,93483,22037,1740,1735,16997,1,20190126
액션스퀘어                              ,2310,1740,2,60,3.57,1,530,29.78,1,22.47,2201798,1,93483,22037,1740,1735,16997,1,20190127
액션스퀘어                              ,2310,1740,2,60,3.57,1,530,29.78,1,22.47,2201798,1,93483,22037,1740,1735,16997,1,20190128
우수AMS                                 ,6120,3115,2,10,0.32,1,1405,29.8,1,63.28,66346,1,14478,47836,3115,3105,5186,1810,20190129
데코앤이                                ,353,1460,0,0,0,1,81,29.78,1,0,0,1,0,0,0,0,0,0,20190130
제일바이오                              ,4955,7910,2,510,6.89,1,1140,29.88,1,91.28,29036130,1,104379,27827,7910,7900,3442,6529,20190130
국일신동                                ,6810,6160,5,30,-0.48,1,1570,29.96,1,148.91,74500,1,6549,24334,6160,6150,638,4,20190130
고려시멘트                              ,3755,2925,2,5,0.17,1,865,29.93,1,84.29,400111,1,32472,79881,2930,2925,2537,447,20190131
보광산업                                ,5850,4600,2,195,4.43,1,1345,29.86,1,278.13,240468,1,11617,21364,4600,4595,1992,1943,20190131
판타지오                                ,696,532,5,4,-0.75,1,160,29.85,1,120.55,258489,1,78504,71423,533,532,3840,1296,20190209
판타지오                                ,696,532,5,4,-0.75,1,160,29.85,1,120.55,258489,1,78504,71423,533,532,3840,1296,20190210
판타지오                                ,696,532,5,4,-0.75,1,160,29.85,1,120.55,258489,1,78504,71423,533,532,3840,1296,20190211
와이비엠넷                              ,4560,4405,2,60,1.38,1,1050,29.91,1,208.76,995313,1,13592,19958,4410,4405,2804,3443,20190212
플랜티넷                                ,5750,4540,5,20,-0.44,1,1325,29.94,1,403.1,29270,1,1530,5544,4540,4535,45,7,20190212
아세아텍                                ,6530,4175,5,5,-0.12,1,1500,29.82,1,42.19,107045,1,5471,12576,4175,4160,128,6,20190213
풍강                                    ,5170,3400,5,75,-2.16,1,1190,29.9,1,338.87,600376,1,7612,12020,3405,3400,480,378,20190214
테스                                    ,17650,20450,5,50,-0.24,1,4050,29.78,1,35.49,181741,1,25618,31022,20500,20450,522,160,20190214
에스씨디                                ,1940,1085,2,5,0.46,1,445,29.77,1,68.8,82225,1,33720,66902,1085,1080,2170,1930,20190215
포티스                                  ,1550,739,5,24,-3.15,1,355,29.71,1,82.47,2698754,1,47575,104930,739,738,17112,10,20190215
엠아이텍                                ,4110,4525,2,5,0.11,1,945,29.86,1,114.19,174455,1,6688,21820,4530,4525,60,963,20190215
골드퍼시픽                              ,2585,1605,5,35,-2.13,1,595,29.9,1,107.81,63473,1,2089,13739,1610,1605,111,88,20190216
엠아이텍                                ,5340,4525,2,5,0.11,1,1230,29.93,2,114.19,174455,1,6688,21820,4530,4525,60,963,20190216
골드퍼시픽                              ,2585,1605,5,35,-2.13,1,595,29.9,1,107.81,63473,1,2089,13739,1610,1605,111,88,20190217
엠아이텍                                ,5340,4525,2,5,0.11,1,1230,29.93,2,114.19,174455,1,6688,21820,4530,4525,60,963,20190217
골드퍼시픽                              ,2585,1605,5,35,-2.13,1,595,29.9,1,107.81,63473,1,2089,13739,1610,1605,111,88,20190218
엠아이텍                                ,5340,4525,2,5,0.11,1,1230,29.93,2,114.19,174455,1,6688,21820,4530,4525,60,963,20190218
골드퍼시픽                              ,3360,1605,5,35,-2.13,1,775,29.98,2,107.81,63473,1,2089,13739,1610,1605,111,88,20190219
팬스타엔터프라이즈                      ,1095,1050,2,5,0.48,1,252,29.89,1,85.45,546521,1,123419,201428,1050,1045,10471,1043,20190220
코닉글로리                              ,661,782,2,12,1.56,1,152,29.86,1,91.9,233771,1,41673,45833,782,779,6123,4296,20190221
파인텍                                  ,2605,1070,5,20,-1.83,1,600,29.93,1,186.72,385466,1,87647,131254,1070,1065,11689,7395,20190221
영우디에스피                            ,1365,1535,5,15,-0.97,1,315,30,1,136.73,320535,1,13397,116513,1535,1530,3826,1886,20190221
라온시큐어                              ,3235,3025,2,65,2.2,1,745,29.92,1,28.7,447296,1,24332,86891,3030,3025,900,75031,20190222
케이사인                                ,1650,1280,2,5,0.39,1,380,29.92,1,64.65,477163,1,238324,91617,1280,1275,3005,8524,20190222
휴네시온                                ,9820,5460,5,40,-0.73,1,2260,29.89,1,55.76,95850,1,11474,28601,5460,5450,308,400,20190222
크리스탈신소재                          ,1670,1990,5,10,-0.5,1,385,29.96,1,60.45,1001507,1,85521,161880,1995,1990,1179,20407,20190223
크리스탈신소재                          ,1670,1990,5,10,-0.5,1,385,29.96,1,60.45,1001507,1,85521,161880,1995,1990,1179,20407,20190224
크리스탈신소재                          ,1670,1990,5,10,-0.5,1,385,29.96,1,60.45,1001507,1,85521,161880,1995,1990,1179,20407,20190225
윙입푸드                                ,2410,1920,5,10,-0.52,1,555,29.92,1,101.4,337552,1,34039,70038,1920,1915,1750,500,20190226
동아화성                                ,6010,5180,2,20,0.39,1,1380,29.81,1,126.74,294822,1,6886,13096,5200,5180,451,1775,20190226
이에스에이                              ,1635,4670,2,345,7.98,1,375,29.76,1,198.25,6797376,1,100959,20342,4675,4670,16202,1599,20190226
코디엠                                  ,1045,525,5,3,-0.57,1,238,29.49,1,45.39,614523,1,55961,71268,526,525,2000,15482,20190227
동일기연                                ,16150,13150,2,250,1.94,1,3700,29.72,1,94.34,16659,1,9043,3324,13200,13150,136,410,20190228
디에스티                                ,1725,790,2,28,3.67,1,395,29.7,1,183.64,324376,1,58394,11067,790,788,3982,6,20190228
비에이치아이                            ,4630,2020,5,20,-0.98,1,1065,29.87,1,84.16,34371,1,6173,8027,2020,2010,114,129,20190228
삼보산업                                ,7860,870,2,26,3.08,1,1810,29.92,1,55.46,626181,1,20067,11137,870,869,3608,410,20190229
삼보산업                                ,7860,870,2,26,3.08,1,1810,29.92,1,55.46,626181,1,20067,11137,870,869,3608,410,20190230
삼보산업                                ,7860,870,2,26,3.08,1,1810,29.92,1,55.46,626181,1,20067,11137,870,869,3608,410,20190231
삼보산업                                ,7860,870,2,26,3.08,1,1810,29.92,1,55.46,626181,1,20067,11137,870,869,3608,410,20190301
삼보산업                                ,7860,870,2,26,3.08,1,1810,29.92,1,55.46,626181,1,20067,11137,870,869,3608,410,20190302
삼보산업                                ,7860,870,2,26,3.08,1,1810,29.92,1,55.46,626181,1,20067,11137,870,869,3608,410,20190303
삼보산업                                ,7860,870,2,26,3.08,1,1810,29.92,1,55.46,626181,1,20067,11137,870,869,3608,410,20190304
하츠                                    ,7050,7720,5,310,-3.86,1,1620,29.83,1,119.2,638546,1,5134,33286,7730,7720,30,10056,20190307
누리플랜                                ,8110,5000,5,40,-0.79,1,1870,29.97,1,86.65,13564,1,5310,1861,5020,5000,982,66,20190307
유테크                                  ,1810,2650,2,130,5.16,1,415,29.75,1,187.9,571049,1,32949,44381,2650,2645,1621,585,20190307
이엘케이                                ,825,787,0,0,0,1,190,29.92,1,0,0,1,0,0,0,0,0,0,20190308
아이엠텍                                ,995,1075,2,30,2.87,1,229,29.9,1,106.85,372270,1,59637,38430,1075,1070,1665,4808,20190309
아이엠텍                                ,995,1075,2,30,2.87,1,229,29.9,1,106.85,372270,1,59637,38430,1075,1070,1665,4808,20190310
아이엠텍                                ,995,1075,2,30,2.87,1,229,29.9,1,106.85,372270,1,59637,38430,1075,1070,1665,4808,20190311
아이엠텍                                ,1290,1075,2,30,2.87,1,295,29.65,2,106.85,372270,1,59637,38430,1075,1070,1665,4808,20190312
우리기술                                ,1550,860,5,7,-0.81,1,355,29.71,1,83.24,353769,1,34556,44108,863,860,2190,4674,20190313
슈펙스비앤피                            ,962,356,5,18,-4.81,1,222,30,1,187.9,1924656,1,60559,162820,356,355,17516,27077,20190313
에스제이케이                            ,2065,2200,2,460,26.44,1,475,29.87,1,1236.2,1728851,1,23805,3921,2200,2190,7518,95,20190313
에이비엘바이오                          ,27450,19800,2,600,3.13,1,6300,29.79,1,145.73,879828,1,89669,68488,19850,19800,7572,1517,20190313
슈펙스비앤피                            ,1250,356,5,18,-4.81,1,288,29.94,2,187.9,1924656,1,60559,162820,356,355,17516,27077,20190314
디케이락                                ,10950,9450,5,60,-0.63,1,2500,29.59,1,109.48,35517,1,2757,4872,9460,9450,80,2588,20190315
피씨엘                                  ,9380,8900,5,280,-3.05,1,2160,29.92,1,138.4,69590,1,7767,5814,8900,8860,273,1,20190315
셀리버리                                ,63900,53400,1,12250,29.77,1,14700,29.88,1,2085.46,2773371,1,0,152542,0,53400,0,142957,20190315
인트로메딕                              ,4560,6410,2,360,5.95,1,1050,29.91,1,95.32,1176764,1,62219,29716,6420,6410,5155,1570,20190316
인트로메딕                              ,4560,6410,2,360,5.95,1,1050,29.91,1,95.32,1176764,1,62219,29716,6420,6410,5155,1570,20190317
인트로메딕                              ,4560,6410,2,360,5.95,1,1050,29.91,1,95.32,1176764,1,62219,29716,6420,6410,5155,1570,20190318
드래곤플라이                            ,3510,3240,5,80,-2.41,1,810,30,1,113.68,170807,1,4067,16915,3250,3240,79,1528,20190319
미래에셋벤처투자                        ,6900,4580,2,35,0.77,1,1590,29.94,1,85.51,68053,1,13356,7304,4585,4580,8,472,20190319
인트로메딕                              ,5920,6410,2,360,5.95,1,1360,29.82,2,95.32,1176764,1,62219,29716,6420,6410,5155,1570,20190319
에스앤더블류                            ,7890,3075,5,15,-0.49,1,1820,29.98,1,43.75,10590,1,3557,4158,3075,3060,207,460,20190320
현대바이오                              ,7440,14550,2,400,2.83,1,1710,29.84,1,389.44,8198168,1,132753,179304,14600,14550,17138,18505,20190321
엔에스                                  ,14300,5750,2,10,0.17,1,3300,30,1,97.21,26932,1,5215,4706,5750,5710,2590,340,20190322
하츠                                    ,10100,7720,5,310,-3.86,1,2320,29.82,1,119.2,638546,1,5134,33286,7730,7720,30,10056,20190323
이지케어텍                              ,31950,16300,2,400,2.52,1,7350,29.88,1,221.6,58613,1,4276,9987,16350,16300,71,744,20190323
스타모빌리티                            ,2025,3075,3,0,0,1,465,29.81,1,62.42,92039,1,14678,4057,3075,3070,608,10,20190323
하츠                                    ,10100,7720,5,310,-3.86,1,2320,29.82,1,119.2,638546,1,5134,33286,7730,7720,30,10056,20190324
이지케어텍                              ,31950,16300,2,400,2.52,1,7350,29.88,1,221.6,58613,1,4276,9987,16350,16300,71,744,20190324
스타모빌리티                            ,2025,3075,3,0,0,1,465,29.81,1,62.42,92039,1,14678,4057,3075,3070,608,10,20190324
하츠                                    ,10100,7720,5,310,-3.86,1,2320,29.82,1,119.2,638546,1,5134,33286,7730,7720,30,10056,20190325
이지케어텍                              ,31950,16300,2,400,2.52,1,7350,29.88,1,221.6,58613,1,4276,9987,16350,16300,71,744,20190325
스타모빌리티                            ,2025,3075,3,0,0,1,465,29.81,1,62.42,92039,1,14678,4057,3075,3070,608,10,20190325
로보로보                                ,3285,5230,2,120,2.35,1,755,29.84,1,21.57,2267697,1,86670,67763,5240,5230,3628,1109,20190326
파세코                                  ,7300,9450,5,550,-5.5,1,1680,29.89,1,63.72,505987,1,7084,4303,9450,9440,161,393,20190327
유니맥스글로벌                          ,2995,1705,2,145,9.29,1,690,29.93,1,507.2,2882003,1,77544,41102,1710,1705,2200,954,20190327
코너스톤네트웍스                        ,421,1075,5,5,-0.46,1,97,29.94,1,293.41,1864280,1,184571,113451,1075,1070,75155,500,20190328
디젠스                                  ,608,525,5,2,-0.38,1,140,29.91,1,96.16,142353,1,33766,4724,527,525,1989,12,20190328
나이벡                                  ,12900,9490,5,240,-2.47,1,2970,29.91,1,46.94,286290,1,12853,16381,9500,9490,2985,171,20190328
스타모빌리티                            ,2150,3075,3,0,0,1,495,29.91,1,62.42,92039,1,14678,4057,3075,3070,608,10,20190328
코너스톤네트웍스                        ,547,1075,5,5,-0.46,1,126,29.93,2,293.41,1864280,1,184571,113451,1075,1070,75155,500,20190329
